N = 86, K = 66 => complexity = 86
N = 86, K = 71 => complexity = 86
N = 86, K = 76 => complexity = 86
N = 86, K = 81 => complexity = 86
N = 86, K = 86 => complexity = 86
N = 91, K = 1 => complexity = 269.273
N = 91, K = 6 => complexity = 198.024
N = 91, K = 11 => complexity = 173.181
N = 91, K = 16 => complexity = 154.606
N = 91, K = 21 => complexity = 145.787
N = 91, K = 26 => complexity = 134.418
N = 91, K = 31 => complexity = 118.394
N = 91, K = 36 => complexity = 118.394
N = 91, K = 41 => complexity = 118.394
N = 91, K = 46 => complexity = 91
N = 91, K = 51 => complexity = 91
N = 91, K = 56 => complexity = 91
N = 91, K = 61 => complexity = 91
N = 91, K = 66 => complexity = 91
N = 91, K = 71 => complexity = 91
N = 91, K = 76 => complexity = 91
N = 91, K = 81 => complexity = 91
N = 91, K = 86 => complexity = 91
N = 91, K = 91 => complexity = 91
N = 96, K = 1 => complexity = 286.298
N = 96, K = 6 => complexity = 211.596
N = 96, K = 11 => complexity = 182.697
N = 96, K = 16 => complexity = 170.703
N = 96, K = 21 => complexity = 153.798
N = 96, K = 26 => complexity = 141.804
N = 96, K = 31 => complexity = 141.804
N = 96, K = 36 => complexity = 124.899
N = 96, K = 41 => complexity = 124.899
N = 96, K = 46 => complexity = 124.899
N = 96, K = 51 => complexity = 96
N = 96, K = 56 => complexity = 96
N = 96, K = 61 => complexity = 96
N = 96, K = 66 => complexity = 96
N = 96, K = 71 => complexity = 96
N = 96, K = 76 => complexity = 96
N = 96, K = 81 => complexity = 96
N = 96, K = 86 => complexity = 96
N = 96, K = 91 => complexity = 96
N = 96, K = 96 => complexity = 96
N = 101, K = 1 => complexity = 303.436
N = 101, K = 6 => complexity = 222.616
N = 101, K = 11 => complexity = 197.378
N = 101, K = 16 => complexity = 179.593
N = 101, K = 21 => complexity = 161.808
N = 101, K = 26 => complexity = 149.189
N = 101, K = 31 => complexity = 149.189
N = 101, K = 36 => complexity = 131.404
N = 101, K = 41 => complexity = 131.404
N = 101, K = 46 => complexity = 131.404
N = 101, K = 51 => complexity = 101
N = 101, K = 56 => complexity = 101
N = 101, K = 61 => complexity = 101
N = 101, K = 66 => complexity = 101
N = 101, K = 71 => complexity = 101
N = 101, K = 76 => complexity = 101
N = 101, K = 81 => complexity = 101
N = 101, K = 86 => complexity = 101
N = 101, K = 91 => complexity = 101
N = 101, K = 96 => complexity = 101
N = 101, K = 101 => complexity = 101
N = 106, K = 1 => complexity = 320.682
N = 106, K = 6 => complexity = 236.428
N = 106, K = 11 => complexity = 207.15
N = 106, K = 16 => complexity = 188.484
N = 106, K = 21 => complexity = 180.091
N = 106, K = 26 => complexity = 169.818
N = 106, K = 31 => complexity = 156.575
N = 106, K = 36 => complexity = 137.909
N = 106, K = 41 => complexity = 137.909
N = 106, K = 46 => complexity = 137.909
N = 106, K = 51 => complexity = 137.909
N = 106, K = 56 => complexity = 106
N = 106, K = 61 => complexity = 106
N = 106, K = 66 => complexity = 106
N = 106, K = 71 => complexity = 106
N = 106, K = 76 => complexity = 106
N = 106, K = 81 => complexity = 106
N = 106, K = 86 => complexity = 106
N = 106, K = 91 => complexity = 106
N = 106, K = 96 => complexity = 106
N = 106, K = 101 => complexity = 106
N = 106, K = 106 => complexity = 106
N = 111, K = 1 => complexity = 338.031
N = 111, K = 6 => complexity = 250.335
N = 111, K = 11 => complexity = 222
N = 111, K = 16 => complexity = 197.375
N = 111, K = 21 => complexity = 188.586
N = 111, K = 26 => complexity = 177.829
N = 111, K = 31 => complexity = 163.96
N = 111, K = 36 => complexity = 163.96
N = 111, K = 41 => complexity = 144.414
N = 111, K = 46 => complexity = 144.414
N = 111, K = 51 => complexity = 144.414
N = 111, K = 56 => complexity = 111
N = 111, K = 61 => complexity = 111
N = 111, K = 66 => complexity = 111
N = 111, K = 71 => complexity = 111
N = 111, K = 76 => complexity = 111
N = 111, K = 81 => complexity = 111
N = 111, K = 86 => complexity = 111
N = 111, K = 91 => complexity = 111
N = 111, K = 96 => complexity = 111
N = 111, K = 101 => complexity = 111
N = 111, K = 106 => complexity = 111
N = 111, K = 111 => complexity = 111
N = 116, K = 1 => complexity = 355.477
N = 116, K = 6 => complexity = 264.335
N = 116, K = 11 => complexity = 232
N = 116, K = 16 => complexity = 214.031
N = 116, K = 21 => complexity = 197.081
N = 116, K = 26 => complexity = 185.839
N = 116, K = 31 => complexity = 171.346
N = 116, K = 36 => complexity = 171.346
N = 116, K = 41 => complexity = 150.919
N = 116, K = 46 => complexity = 150.919
N = 116, K = 51 => complexity = 150.919
N = 116, K = 56 => complexity = 150.919
N = 116, K = 61 => complexity = 116
N = 116, K = 66 => complexity = 116
N = 116, K = 71 => complexity = 116
N = 116, K = 76 => complexity = 116
N = 116, K = 81 => complexity = 116
N = 116, K = 86 => complexity = 116
N = 116, K = 91 => complexity = 116
N = 116, K = 96 => complexity = 116
N = 116, K = 101 => complexity = 116
N = 116, K = 106 => complexity = 116
N = 116, K = 111 => complexity = 116
N = 116, K = 116 => complexity = 116
N = 121, K = 1 => complexity = 373.017
N = 121, K = 6 => complexity = 278.425
N = 121, K = 11 => complexity = 247.009
N = 121, K = 16 => complexity = 223.257
N = 121, K = 21 => complexity = 205.575
N = 121, K = 26 => complexity = 193.849
N = 121, K = 31 => complexity = 178.732
N = 121, K = 36 => complexity = 178.732
N = 121, K = 41 => complexity = 157.425
N = 121, K = 46 => complexity = 157.425
N = 121, K = 51 => complexity = 157.425
N = 121, K = 56 => complexity = 157.425
N = 121, K = 61 => complexity = 121
N = 121, K = 66 => complexity = 121
N = 121, K = 71 => complexity = 121
N = 121, K = 76 => complexity = 121
N = 121, K = 81 => complexity = 121
N = 121, K = 86 => complexity = 121
N = 121, K = 91 => complexity = 121
N = 121, K = 96 => complexity = 121
N = 121, K = 101 => complexity = 121
N = 121, K = 106 => complexity = 121
N = 121, K = 111 => complexity = 121
N = 121, K = 116 => complexity = 121
N = 121, K = 121 => complexity = 121
N = 126, K = 1 => complexity = 390.647
N = 126, K = 6 => complexity = 292.6
N = 126, K = 11 => complexity = 257.215
N = 126, K = 16 => complexity = 232.482
N = 126, K = 21 => complexity = 224.047
N = 126, K = 26 => complexity = 201.86
N = 126, K = 31 => complexity = 201.86
N = 126, K = 36 => complexity = 186.117
N = 126, K = 41 => complexity = 186.117
N = 126, K = 46 => complexity = 163.93
N = 126, K = 51 => complexity = 163.93
N = 126, K = 56 => complexity = 163.93
N = 126, K = 61 => complexity = 163.93
N = 126, K = 66 => complexity = 126
N = 126, K = 71 => complexity = 126
N = 126, K = 76 => complexity = 126
N = 126, K = 81 => complexity = 126
N = 126, K = 86 => complexity = 126
N = 126, K = 91 => complexity = 126
N = 126, K = 96 => complexity = 126
N = 126, K = 101 => complexity = 126
N = 126, K = 106 => complexity = 126
N = 126, K = 111 => complexity = 126
N = 126, K = 116 => complexity = 126
N = 126, K = 121 => complexity = 126
N = 126, K = 126 => complexity = 126
N = 131, K = 1 => complexity = 408.363
N = 131, K = 6 => complexity = 304.211
N = 131, K = 11 => complexity = 267.422
N = 131, K = 16 => complexity = 249.305
N = 131, K = 21 => complexity = 232.938
N = 131, K = 26 => complexity = 222.565
N = 131, K = 31 => complexity = 209.87
N = 131, K = 36 => complexity = 193.503
N = 131, K = 41 => complexity = 193.503
N = 131, K = 46 => complexity = 170.435
N = 131, K = 51 => complexity = 170.435
N = 131, K = 56 => complexity = 170.435
N = 131, K = 61 => complexity = 170.435
N = 131, K = 66 => complexity = 131
N = 131, K = 71 => complexity = 131
N = 131, K = 76 => complexity = 131
N = 131, K = 81 => complexity = 131
N = 131, K = 86 => complexity = 131
N = 131, K = 91 => complexity = 131
N = 131, K = 96 => complexity = 131
N = 131, K = 101 => complexity = 131
N = 131, K = 106 => complexity = 131
N = 131, K = 111 => complexity = 131
N = 131, K = 116 => complexity = 131
N = 131, K = 121 => complexity = 131
N = 131, K = 126 => complexity = 131
N = 131, K = 131 => complexity = 131
N = 136, K = 1 => complexity = 426.161
N = 136, K = 6 => complexity = 318.569
N = 136, K = 11 => complexity = 282.769
N = 136, K = 16 => complexity = 258.82
N = 136, K = 21 => complexity = 241.829
N = 136, K = 26 => complexity = 231.06
N = 136, K = 31 => complexity = 217.88
N = 136, K = 36 => complexity = 200.888
N = 136, K = 41 => complexity = 200.888
N = 136, K = 46 => complexity = 176.94
N = 136, K = 51 => complexity = 176.94
N = 136, K = 56 => complexity = 176.94
N = 136, K = 61 => complexity = 176.94
N = 136, K = 66 => complexity = 176.94
N = 136, K = 71 => complexity = 136
N = 136, K = 76 => complexity = 136
N = 136, K = 81 => complexity = 136
N = 136, K = 86 => complexity = 136
N = 136, K = 91 => complexity = 136
N = 136, K = 96 => complexity = 136
N = 136, K = 101 => complexity = 136
N = 136, K = 106 => complexity = 136
N = 136, K = 111 => complexity = 136
N = 136, K = 116 => complexity = 136
N = 136, K = 121 => complexity = 136
N = 136, K = 126 => complexity = 136
N = 136, K = 131 => complexity = 136
N = 136, K = 136 => complexity = 136
N = 141, K = 1 => complexity = 444.04
N = 141, K = 6 => complexity = 333.004
N = 141, K = 11 => complexity = 293.165
N = 141, K = 16 => complexity = 268.336
N = 141, K = 21 => complexity = 250.719
N = 141, K = 26 => complexity = 239.555
N = 141, K = 31 => complexity = 225.89
N = 141, K = 36 => complexity = 208.274
N = 141, K = 41 => complexity = 208.274
N = 141, K = 46 => complexity = 208.274
N = 141, K = 51 => complexity = 183.445
N = 141, K = 56 => complexity = 183.445
N = 141, K = 61 => complexity = 183.445
N = 141, K = 66 => complexity = 183.445
N = 141, K = 71 => complexity = 141
N = 141, K = 76 => complexity = 141
N = 141, K = 81 => complexity = 141
N = 141, K = 86 => complexity = 141
N = 141, K = 91 => complexity = 141
N = 141, K = 96 => complexity = 141
N = 141, K = 101 => complexity = 141
N = 141, K = 106 => complexity = 141
N = 141, K = 111 => complexity = 141
N = 141, K = 116 => complexity = 141
N = 141, K = 121 => complexity = 141
N = 141, K = 126 => complexity = 141
N = 141, K = 131 => complexity = 141
N = 141, K = 136 => complexity = 141
N = 141, K = 141 => complexity = 141
N = 146, K = 1 => complexity = 461.996
N = 146, K = 6 => complexity = 347.511
N = 146, K = 11 => complexity = 308.636
N = 146, K = 16 => complexity = 285.319
N = 146, K = 21 => complexity = 259.61
N = 146, K = 26 => complexity = 248.05
N = 146, K = 31 => complexity = 233.901
N = 146, K = 36 => complexity = 233.901
N = 146, K = 41 => complexity = 215.66
N = 146, K = 46 => complexity = 215.66
N = 146, K = 51 => complexity = 189.95
N = 146, K = 56 => complexity = 189.95
N = 146, K = 61 => complexity = 189.95
N = 146, K = 66 => complexity = 189.95
N = 146, K = 71 => complexity = 189.95
